ticker,sector,source,sections_found,call_date,event_date,ew_risk_score,hedge_density,neg_sentiment,backward_ratio,sentiment_trajectory,actual_1d,actual_3d,actual_5d,signal,correct_1d,correct_3d,correct_5d
AAPL,Technology,edgar,False,2024-10-31,2024-10-31,35.98,0.6281,0.0625,0.6667,0.1449,-0.018209,-0.035159,-0.032073,NEUTRAL,,,
AAPL,Technology,edgar,False,2025-01-30,2025-01-30,27.59,0.6887,0.0417,0.4444,0.2669,-0.007395,-0.047418,-0.028785,NEUTRAL,,,
AAPL,Technology,edgar,False,2025-05-01,2025-05-01,42.07,1.2097,0.0833,0.4545,0.2914,0.003859,-0.064047,-0.076471,NEUTRAL,,,
AAPL,Technology,edgar,False,2025-07-31,2025-07-31,39.74,0.8499,0.0909,0.5,0.2331,-0.00708,-0.027266,0.020091,NEUTRAL,,,
AAPL,Technology,edgar,False,2025-10-30,2025-10-30,35.11,0.6112,0.0588,0.6667,0.126,0.006303,-0.00241,0.001632,NEUTRAL,,,
AAPL,Technology,edgar,False,2026-01-29,2026-01-29,32.18,0.6729,0.0417,0.6364,0.2711,0.007175,0.052917,0.078186,NEUTRAL,,,
ABBV,Healthcare,edgar,False,2025-07-03,2025-07-03,20.83,0.0,0.0,0.8333,0.0194,-0.007706,-0.005138,0.022281,POSITIVE,False,False,True
ABBV,Healthcare,edgar,False,2025-07-31,2025-07-31,45.64,0.3613,0.1148,0.8293,0.3711,-0.001532,0.041625,0.036924,NEUTRAL,,,
ABBV,Healthcare,edgar,False,2025-10-03,2025-10-03,20.83,0.0,0.0,0.8333,0.0076,-0.011202,-0.015768,-0.024814,POSITIVE,False,False,False
ABBV,Healthcare,edgar,False,2025-10-31,2025-10-31,48.57,0.5285,0.1214,0.8112,0.4141,-0.044522,-0.053944,-0.04014,NEUTRAL,,,
ABBV,Healthcare,edgar,False,2026-01-07,2026-01-07,20.0,0.0,0.0,0.8,-0.0159,0.042379,-0.017193,-0.014201,POSITIVE,True,False,False
ABBV,Healthcare,edgar,False,2026-02-04,2026-02-04,48.43,0.4912,0.126,0.7934,0.368,-0.037889,-0.009882,-0.014269,NEUTRAL,,,
ADBE,Technology,edgar,False,2024-12-11,2024-12-11,34.65,0.5913,0.0615,0.64,0.2545,0.005265,-0.148725,-0.167846,NEUTRAL,,,
ADBE,Technology,edgar,False,2025-03-12,2025-03-12,23.75,0.5087,0.0357,0.4286,0.1666,0.011391,-0.089748,-0.097519,NEUTRAL,,,
ADBE,Technology,edgar,False,2025-06-12,2025-06-12,29.98,0.7563,0.0408,0.5102,0.2303,0.002035,-0.026911,-0.084294,NEUTRAL,,,
ADBE,Technology,edgar,False,2025-09-11,2025-09-11,26.16,0.5719,0.04,0.4615,0.2403,0.001114,-0.008739,0.034013,NEUTRAL,,,
ADBE,Technology,edgar,False,2025-12-10,2025-12-10,24.7,0.5307,0.027,0.5158,0.2866,-0.003456,0.035171,0.010368,NEUTRAL,,,
ADBE,Technology,edgar,False,2026-03-12,2026-03-12,27.75,0.692,0.0392,0.4667,0.1297,-0.014358,-0.079829,-0.101239,NEUTRAL,,,
AMZN,Consumer,edgar,False,2025-04-10,2025-04-10,38.01,1.0496,0.0522,0.5952,-0.1543,-0.051701,-0.046991,-0.087755,NEUTRAL,,,
AMZN,Consumer,edgar,False,2025-05-01,2025-05-01,38.1,1.0935,0.0575,0.5385,0.3424,0.031341,0.010465,0.023262,NEUTRAL,,,
AMZN,Consumer,edgar,False,2025-07-31,2025-07-31,36.88,1.1628,0.0323,0.629,0.4114,0.017029,-0.080542,-0.034233,NEUTRAL,,,
AMZN,Consumer,edgar,False,2025-10-30,2025-10-30,43.31,0.8358,0.1,0.5867,0.4191,-0.032306,0.102909,0.086409,NEUTRAL,,,
