group_type,source,window,n_directional,n_correct,accuracy,wilson_ci_95_low,wilson_ci_95_high,sector
sector,,1d,31,18,0.5806,0.4077,0.7358,Consumer
sector,,1d,23,13,0.5652,0.3681,0.7437,Healthcare
sector,,1d,11,6,0.5455,0.2801,0.7873,Energy
sector,,1d,29,15,0.5172,0.3443,0.6861,Financials
sector,,1d,12,5,0.4167,0.1933,0.6805,Technology
sector,,3d,31,22,0.7097,0.5341,0.839,Consumer
sector,,3d,23,13,0.5652,0.3681,0.7437,Healthcare
sector,,3d,11,6,0.5455,0.2801,0.7873,Energy
sector,,3d,12,5,0.4167,0.1933,0.6805,Technology
sector,,3d,29,11,0.3793,0.2269,0.56,Financials
sector,,5d,31,20,0.6452,0.4695,0.7888,Consumer
sector,,5d,23,13,0.5652,0.3681,0.7437,Healthcare
sector,,5d,29,15,0.5172,0.3443,0.6861,Financials
sector,,5d,12,5,0.4167,0.1933,0.6805,Technology
sector,,5d,11,4,0.3636,0.1517,0.6462,Energy
source,edgar,1d,102,55,0.5392,0.4428,0.6328,
source,motleyfool,1d,4,2,0.5,0.15,0.85,
source,motleyfool,3d,4,3,0.75,0.3006,0.9544,
source,edgar,3d,102,54,0.5294,0.4332,0.6234,
source,motleyfool,5d,4,3,0.75,0.3006,0.9544,
source,edgar,5d,102,54,0.5294,0.4332,0.6234,
source_sector,edgar,1d,29,17,0.5862,0.4074,0.7449,Consumer
source_sector,edgar,1d,23,13,0.5652,0.3681,0.7437,Healthcare
source_sector,edgar,1d,11,6,0.5455,0.2801,0.7873,Energy
source_sector,edgar,1d,27,14,0.5185,0.3399,0.6926,Financials
source_sector,motleyfool,1d,2,1,0.5,0.0945,0.9055,Consumer
source_sector,motleyfool,1d,2,1,0.5,0.0945,0.9055,Financials
source_sector,edgar,1d,12,5,0.4167,0.1933,0.6805,Technology
source_sector,motleyfool,3d,2,2,1.0,0.3424,1.0,Consumer
source_sector,edgar,3d,29,20,0.6897,0.5077,0.8272,Consumer
source_sector,edgar,3d,23,13,0.5652,0.3681,0.7437,Healthcare
source_sector,edgar,3d,11,6,0.5455,0.2801,0.7873,Energy
source_sector,motleyfool,3d,2,1,0.5,0.0945,0.9055,Financials
source_sector,edgar,3d,12,5,0.4167,0.1933,0.6805,Technology
source_sector,edgar,3d,27,10,0.3704,0.2153,0.5577,Financials
source_sector,motleyfool,5d,2,2,1.0,0.3424,1.0,Consumer
source_sector,edgar,5d,29,18,0.6207,0.44,0.7731,Consumer
source_sector,edgar,5d,23,13,0.5652,0.3681,0.7437,Healthcare
source_sector,edgar,5d,27,14,0.5185,0.3399,0.6926,Financials
source_sector,motleyfool,5d,2,1,0.5,0.0945,0.9055,Financials
source_sector,edgar,5d,12,5,0.4167,0.1933,0.6805,Technology
source_sector,edgar,5d,11,4,0.3636,0.1517,0.6462,Energy
